[668512.3513312747, 3548053.5441787974]
[661445.3456986931, 3544720.234920761]
[677206.3234358567, 3549409.9432959096]
[668512.3513312747, 3548053.5441787974]
[664097.6531639812, 3543787.1317265723]
[671996.152053179, 3558928.150629063]
[664097.6531639812, 3543787.1317265723]
[666992.0552281352, 3545264.8190267673]
[665958.1448793046, 3537541.7740960084]
[670680.4598417361, 3549383.471392673]
[673563.4838323706, 3560020.023155501]
[659085.1085504836, 3538178.893675375]
[668941.3944692386, 3552818.9813826797]
[673895.9874670666, 3534788.9420301085]
[674385.6231679384, 3545930.789041804]
[674385.6231679384, 3545930.789041804]
[666271.5547361061, 3549483.68434384]
[666116.779622061, 3556101.677466168]
[682084.6051840663, 3556750.078087768]
[682033.2893345741, 3560654.1576974066]
[672297.1479576754, 3549958.398057231]
[666856.3053138193, 3555252.202755309]
[679159.800544431, 3550152.141987075]
[681579.6773473691, 3560130.274983092]
[674850.8427716759, 3545260.515585345]
[668514.391241198, 3547690.493916843]
[665833.0997846795, 3555334.440705679]
[662318.2586491725, 3539123.8238042374]
[674349.7494968274, 3557641.810407715]
[679159.800544431, 3550152.141987075]
[671415.2607658808, 3537817.085887574]
[674385.6231679384, 3545930.789041804]
[677493.4817743999, 3555882.472574519]
[679159.800544431, 3550152.141987075]
[675287.8658063202, 3538323.9867079714]
[668362.2845445471, 3545115.6377588324]
[668024.3951625945, 3550233.6946769506]
[665127.751118308, 3550540.4830490947]
[666714.9151270173, 3556305.945414683]
[653598.7919321063, 3547278.793770069]
[669494.882686831, 3536069.9430364035]
[667261.8689500575, 3551292.3342796853]
[665392.1446573236, 3555909.1623172024]
[666610.5024949845, 3556042.999405833]
[668906.4704998902, 3548765.9360275315]
[671881.3831612868, 3552123.850684821]
[670668.967985627, 3544706.1313913693]
[673250.7307079288, 3534735.790357306]
[667944.3850416125, 3553381.0818188023]
[671518.7040871992, 3544960.391819368]
[673250.7307079288, 3534735.790357306]
[665977.067272769, 3554733.337944322]
[673250.7307079288, 3534735.790357306]
[664233.849136911, 3553211.0645632083]
[663512.5237020281, 3556357.784431306]
[667224.6270563749, 3544589.890998023]
[668967.844290759, 3549670.8303076043]
[674647.6915643209, 3536274.0188977155]
[669049.0250619714, 3550101.749357894]
[668164.367340121, 3548086.679959516]
[667932.8890031695, 3548110.5538141653]
[669805.334935272, 3548538.8185099107]
[673119.6208758116, 3554014.7645633123]
[668967.844290759, 3549670.8303076043]
[673544.8934716627, 3556402.1363719758]
[664306.6710738267, 3552541.886418962]
