12725623.2468,3570436.34131
12725534.3513,3570357.94265
12725508.6391,3570361.19941
12725485.0406,3570361.72804
12725519.2902,3570569.57579
12725496.8794,3570567.65964
12725510.4984,3570486.03583
12725532.6968,3570486.74525
12725540.0118,3570568.15255
12725470.2772,3570566.11062
12725462.975,3570486.8313
12725448.8494,3570565.81181
12725489.158,3570487.02303
12725438.2479,3570484.41659
12725585.9508,3570472.82904
12725507.2819,3570391.77208
12725531.9834,3570425.7943
12725461.8141,3570396.21447
12725439.211,3570365.05682
12725439.6158,3570430.65491
12725438.3956,3570400.94942
12725462.6145,3570429.15691
12725531.4789,3570389.66979
12725483.4872,3570394.72965
12725484.0168,3570428.7881
12725507.2144,3570427.68941
12725460.3185,3570364.18783
12725589.1641,3570506.24792
12725589.6939,3570573.38435
12725588.6859,3570539.4528
12725599.9977,3570397.51724
12725637.7947,3570399.14939
12725576.8776,3570366.07664
12725571.274,3570435.23261
12725561.4246,3570397.71141
12725604.3975,3570362.05922
12725639.6858,3570362.54496
12725669.5841,3570437.17105
12725673.2813,3570398.54217
12725653.9285,3570475.05475
12725651.2407,3570508.04437
12725650.3652,3570542.2229
12725650.711,3570576.15447
12725674.5908,3570365.13398
